x,y,polygon_id,image_id,class_selected,class_AI
244.46827307645822,341.2659907592188,12,2,Hamburg,Berlin
244.46827307645822,341.2659907592188,12,2,Hamburg,Berlin
244.46827307645822,341.2659907592188,12,2,Hamburg,Berlin
243.24963181920015,332.7331217997064,12,2,Hamburg,Berlin
243.24963181920015,332.7331217997064,12,2,Hamburg,Berlin
243.24963181920015,332.7331217997064,12,2,Hamburg,Berlin
237.1564255329095,326.63821540005466,12,2,Hamburg,Berlin
237.1564255329095,326.63821540005466,12,2,Hamburg,Berlin
237.1564255329095,326.63821540005466,12,2,Hamburg,Berlin
229.84457798936086,322.9812715602636,12,2,Hamburg,Berlin
229.84457798936086,322.9812715602636,12,2,Hamburg,Berlin
229.84457798936086,322.9812715602636,12,2,Hamburg,Berlin
